Year,Round,Team,Score,Margin,Rainfall(mm),,,
2015,R7,Carlton,57,-78,0,,,
2015,R8,Carlton,63,-77,0.4,,,
2015,R9,Carlton,62,-60,0.6,,,
2014,R1,Carlton,87,-33,7.2,,,
2014,R10,Carlton,81,5,0.8,,,
2014,R11,Carlton,91,-7,0.6,,,
2014,R12,Carlton,102,-5,2.2,,,
2014,R13,Carlton,90,-28,6.4,,,
2014,R14,Carlton,92,-8,0.6,,,
2014,R15,Carlton,76,-15,2.4,,,
2014,R16,Carlton,151,85,0.6,,,
2014,R17,Carlton,51,-71,0,,,
2014,R18,Carlton,109,23,3,,,
2014,R19,Carlton,78,-5,1.6,,,
2014,R2,Carlton,86,-12,5.2,,,
2014,R20,Carlton,97,39,0,,,
2014,R21,Carlton,76,-6,0,,,
2014,R22,Carlton,37,-103,0,,,
2014,R23,Carlton,90,0,0,,,
2014,R3,Carlton,57,-81,0,,,
2014,R4,Carlton,58,-23,0.6,,,
2014,R5,Carlton,119,28,0,,,
2014,R6,Carlton,92,3,0,,,
2014,R7,Carlton,70,-34,0,,,
2014,R8,Carlton,101,32,0,,,
2013,EF,Carlton,116,20,0.4,,,
2013,R1,Carlton,101,-5,17.4,,,
2013,R10,Carlton,148,94,49,,,
2013,R11,Carlton,72,-5,13.6,,,
2013,R12,Carlton,87,-15,10.8,,,
2013,R14,Carlton,43,-22,9.6,,,
2013,R15,Carlton,77,-41,1,,,
2013,R16,Carlton,110,36,0.2,,,
2013,R17,Carlton,109,1,6.8,,,
2013,R18,Carlton,120,43,0.2,,,
2013,R19,Carlton,80,-36,3,,,
2013,R2,Carlton,100,-17,0,,,
2013,R20,Carlton,89,-28,0.2,,,
2013,R21,Carlton,106,10,0,,,
2013,R22,Carlton,76,-6,0.6,,,
2013,R23,Carlton,104,1,0,,,
2013,R3,Carlton,103,-16,0.2,,,
2013,R4,Carlton,89,24,0.4,,,
2013,R5,Carlton,115,32,0,,,
2013,R6,Carlton,121,61,0,,,
2013,R7,Carlton,68,-9,0.6,,,
2013,R8,Carlton,109,18,0.4,,,
2013,R9,Carlton,98,13,1,,,
2013,SF,Carlton,62,-24,2.8,,,
2012,R1,Carlton,125,44,0,,,
2012,R10,Carlton,45,-54,0,,,
2012,R11,Carlton,85,-12,0,,,
2012,R12,Carlton,69,-10,0.4,,,
2012,R14,Carlton,70,-50,0,,,
2012,R15,Carlton,85,23,0,,,
2012,R16,Carlton,96,-53,3.6,,,
2012,R17,Carlton,102,18,0.2,,,
