Venue,Venue (Alternative),City Bin,Latitude,Longitude,Capacity,Length,Width ,State/Country ,Team,Margin,Margin Bin,Home
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Port Adelaide,26.3,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Richmond,46.7,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,St Kilda,3.4,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Sydney,12.6,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,West Coast,16.0,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Western Bulldogs,-16.6,,
Jiangwan Stadium,,Jiangwan Stadium,31.304992,121.515035,11000,160,138,China,Gold Coast,-56.0,-56.0,
Jiangwan Stadium,,Jiangwan Stadium,31.304992,121.515035,11000,160,138,China,Port Adelaide,60.7,60.7,
Jiangwan Stadium,,Jiangwan Stadium,31.304992,121.515035,11000,160,138,China,St Kilda,-70.0,-70.0,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Adelaide,-30.5,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Brisbane Lions,-46.0,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Carlton,-31.3,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Fremantle,-21.2,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Geelong,33.8,,Y
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Gold Coast,-64.0,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Greater Western Sydney,-35.2,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Hawthorn,-61.0,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Melbourne,-46.7,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,North Melbourne,-24.0,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Port Adelaide,-21.7,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Richmond,-12.0,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,St Kilda,-67.8,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Sydney,-4.4,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,West Coast,-59.0,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Western Bulldogs,-24.5,,
