Year,Team,Gm,K,HB,D,M,G,GA,I50,BH,T,HO,FF,FA,CL,CG,R50,AF,SC,CP,UP,ED,DE%,CM,MI5,1%,BO,CCL,SCL,MG,TO,ITC,T50
2015,Tigers,23,211.5,149.9,361.4,96.2,12.8,8.4,50.1,11,57.5,37.6,21.9,18.8,36.2,45.7,33.3,1541.3,1708.7,136.4,223.6,264.4,73.2,11.1,12.7,44.8,8.5,11.6,24.8,5395,61.7,63.6,8.2
2016,Blues,22,204.4,164.9,369.2,89.9,10.2,7,50.7,10.1,66,39.2,18.1,17.6,34.8,49.3,35.6,1550.6,1618,132.4,232.9,274.8,74.4,10.6,12.1,45.9,7.7,10.4,24.4,5257.9,65.7,65.2,11.9
2016,Bombers,22,205.9,176.3,382.2,101.7,9.1,6.1,46,10.8,64.9,36.7,18.4,16.9,33.5,50.5,37.6,1603.2,1571.3,131.6,253,285,74.6,10.1,10.3,46.7,4,11.4,22.1,5082.6,64.7,63.3,8.4
2016,Bulldogs,26,212.4,198.4,410.8,91.3,12.5,8.3,54.7,11.4,68.7,33.5,20.4,16.1,37.8,47.6,31.1,1672.2,1709.6,150.5,261.5,303.8,74,11.1,11.3,50.1,7.2,12,25.8,5466.5,66.3,67.3,13.3
2016,Cats,24,209.8,172.7,382.4,95.1,14.4,10.2,57,12.9,69.8,39.8,19.7,21.4,37.7,52,30,1631.1,1737.4,149,235.2,283.8,74.2,14,14.6,45.8,6.2,13.7,24,5708.2,64.2,69.5,12.4
2016,Crows,24,220,171.5,391.5,94.8,16.5,11.8,57.9,13.8,68.8,38.8,18.4,17,38.5,50,33.4,1679.1,1726.9,152.2,239.8,285.7,73,12.9,14.3,47.5,6.5,14.3,24.2,6165.7,69.7,74.9,11.5
2016,Demons,22,200.3,192.9,393.1,81.5,13,9.3,53.8,10.3,71.8,47.9,17.9,19.2,38.4,52.9,33.5,1612.6,1662,148.5,242.7,286.9,73,11.1,12.1,44.9,7.3,12.9,25.4,5580.1,70,67,11.2
2016,Dockers,22,198.8,170.6,369.3,85,10.3,7.5,45.5,9.6,72.4,41.5,17.3,17.8,36.4,50.9,36.5,1557.1,1567.5,138,230.4,271.2,73.4,10.6,9,46.6,5.2,11.6,24.8,5331.9,71.2,66.4,14.1
2016,Eagles,23,199.9,153.7,353.6,86,14.3,9.6,52.3,11,69.9,47.1,19.9,18.9,37.4,47.1,32,1549.5,1648.9,139.8,215.8,257.8,72.9,12.8,13.6,45.7,4.1,12.5,24.9,5569.9,63.9,67,11.6
2016,Giants,24,219.5,169.5,389,94.2,15.6,11.1,58,12.7,68.9,44.8,18.1,20.3,40.8,53.2,39,1661.3,1743.2,150.2,238.6,285.8,73.5,11.9,12.5,49.4,13,13.2,27.6,6209.1,66,70.5,14.2
2016,Hawks,24,211.6,157.3,368.9,93.2,14,9,53.6,11.9,71.6,43.2,19.2,18.6,36.5,47.3,32.1,1615.2,1662.2,130.5,235.1,276.8,75,9.8,11.8,56.5,5.5,12.5,24,5425,63.7,66.1,12.6
2016,Kangaroos,23,201.1,161.6,362.7,85.3,12.9,8.5,51.7,11.2,65.5,42.8,20.6,17.4,37.1,47.5,35,1542.3,1668.6,143.1,221.1,269.1,74.2,12.3,11.9,44.4,8.1,13.3,23.9,5467.5,65.2,66.7,11.5
2016,Lions,22,184.2,153.3,337.4,72.7,11.6,7.3,46.3,11.1,68.1,39.5,20.2,21.1,36.2,51.2,37.3,1423.8,1498.1,135.1,199.7,242.9,72,8.5,10.4,50.1,3.8,13.6,22.6,5052.6,66,62,10.4
2016,Magpies,22,204.4,175.6,380,89.5,12.6,8.9,51.4,11.5,78.1,35.3,20.1,18.4,34.4,49.6,34.5,1629.9,1665.9,143.5,239.4,282.6,74.4,11.2,11.3,48.9,5,11.7,22.6,5422.3,66,67.9,13.4
