Year,Team,Team 2,Margin
2013,Hawthorn,Western Bulldogs,19
2013,Melbourne,Adelaide,-68
2013,Melbourne,Brisbane Lions,-23.5
2013,Melbourne,Carlton,-61
2013,Melbourne,Collingwood,-83
2013,Melbourne,Essendon,-148
2013,Melbourne,Fremantle,-92.5
2013,Melbourne,Geelong,-68
2013,Melbourne,Gold Coast,-36.5
2013,Melbourne,Greater Western Sydney,2
2013,Melbourne,Hawthorn,-95
2013,Melbourne,Melbourne,
2013,Melbourne,North Melbourne,-122
2013,Melbourne,Port Adelaide,-79
2013,Melbourne,Richmond,-34
2013,Melbourne,St Kilda,-35
2013,Melbourne,Sydney,-31
2013,Melbourne,West Coast,-94
2013,Melbourne,Western Bulldogs,-8.5
2013,North Melbourne,Adelaide,-5
2013,North Melbourne,Brisbane Lions,25.5
2013,North Melbourne,Carlton,-1
2013,North Melbourne,Collingwood,-2.5
2013,North Melbourne,Essendon,45
2013,North Melbourne,Fremantle,-38
2013,North Melbourne,Geelong,3
2013,North Melbourne,Gold Coast,-15
2013,North Melbourne,Greater Western Sydney,86
2013,North Melbourne,Hawthorn,-8.5
2013,North Melbourne,Melbourne,122
2013,North Melbourne,North Melbourne,
2013,North Melbourne,Port Adelaide,10
2013,North Melbourne,Richmond,62
2013,North Melbourne,St Kilda,68
2013,North Melbourne,Sydney,-39
2013,North Melbourne,West Coast,-2
2013,North Melbourne,Western Bulldogs,54
2013,Port Adelaide,Adelaide,6.5
2013,Port Adelaide,Brisbane Lions,9
2013,Port Adelaide,Carlton,-9.5
2013,Port Adelaide,Collingwood,29.5
2013,Port Adelaide,Essendon,-30
2013,Port Adelaide,Fremantle,-74
2013,Port Adelaide,Geelong,-29.7
2013,Port Adelaide,Gold Coast,27.5
2013,Port Adelaide,Greater Western Sydney,65.5
2013,Port Adelaide,Hawthorn,-45
2013,Port Adelaide,Melbourne,79
2013,Port Adelaide,North Melbourne,-10
2013,Port Adelaide,Port Adelaide,
2013,Port Adelaide,Richmond,-41
2013,Port Adelaide,St Kilda,5
2013,Port Adelaide,Sydney,18
2013,Port Adelaide,West Coast,5
2013,Port Adelaide,Western Bulldogs,-9
2013,Richmond,Adelaide,38
2013,Richmond,Brisbane Lions,23
2013,Richmond,Carlton,-8.3
2013,Richmond,Collingwood,-34
2013,Richmond,Essendon,5
2013,Richmond,Fremantle,13
2013,Richmond,Geelong,-44
2013,Richmond,Gold Coast,9
2013,Richmond,Greater Western Sydney,121
2013,Richmond,Hawthorn,41
2013,Richmond,Melbourne,34
2013,Richmond,North Melbourne,-62
2013,Richmond,Port Adelaide,41
2013,Richmond,Richmond,
2013,Richmond,St Kilda,40.5
2013,Richmond,Sydney,-47
2013,Richmond,West Coast,41
2013,Richmond,Western Bulldogs,63.5
2013,St Kilda,Adelaide,-40
2013,St Kilda,Brisbane Lions,-31
2013,St Kilda,Carlton,-13.5
2013,St Kilda,Collingwood,-26
2013,St Kilda,Essendon,-37
2013,St Kilda,Fremantle,20.5
2013,St Kilda,Geelong,-101
2013,St Kilda,Gold Coast,16.5
2013,St Kilda,Greater Western Sydney,72
2013,St Kilda,Hawthorn,-46
2013,St Kilda,Melbourne,35
2013,St Kilda,North Melbourne,-68
2013,St Kilda,Port Adelaide,-5
2013,St Kilda,Richmond,-40.5
2013,St Kilda,St Kilda,
2013,St Kilda,Sydney,-37.5
2013,St Kilda,West Coast,-4
2013,St Kilda,Western Bulldogs,-9
2013,Sydney,Adelaide,77
2013,Sydney,Brisbane Lions,60
2013,Sydney,Carlton,23
2013,Sydney,Collingwood,9
2013,Sydney,Essendon,44
2013,Sydney,Fremantle,-12.5
2013,Sydney,Geelong,-32.5
2013,Sydney,Gold Coast,41
2013,Sydney,Greater Western Sydney,79.5
2013,Sydney,Hawthorn,-34.3
2013,Sydney,Melbourne,31
2013,Sydney,North Melbourne,39
2013,Sydney,Port Adelaide,-18
2013,Sydney,Richmond,47
2013,Sydney,St Kilda,37.5
2013,Sydney,Sydney,
2013,Sydney,West Coast,34
2013,Sydney,Western Bulldogs,35
2013,West Coast,Adelaide,-40
2013,West Coast,Brisbane Lions,26
2013,West Coast,Carlton,-24
2013,West Coast,Collingwood,-62
2013,West Coast,Essendon,23
2013,West Coast,Fremantle,-28
2013,West Coast,Geelong,-66
2013,West Coast,Gold Coast,17
2013,West Coast,Greater Western Sydney,100
2013,West Coast,Hawthorn,-35
2013,West Coast,Melbourne,94
2013,West Coast,North Melbourne,2
2013,West Coast,Port Adelaide,-5
2013,West Coast,Richmond,-41
2013,West Coast,St Kilda,4
2013,West Coast,Sydney,-34
2013,West Coast,West Coast,
2013,West Coast,Western Bulldogs,24
2013,Western Bulldogs,Adelaide,-17.5
2013,Western Bulldogs,Brisbane Lions,30.5
2013,Western Bulldogs,Carlton,28
2013,Western Bulldogs,Collingwood,-34
2013,Western Bulldogs,Essendon,-31
2013,Western Bulldogs,Fremantle,-28
2013,Western Bulldogs,Geelong,-21
2013,Western Bulldogs,Gold Coast,-32
2013,Western Bulldogs,Greater Western Sydney,4
2013,Western Bulldogs,Hawthorn,-19
2013,Western Bulldogs,Melbourne,8.5
2013,Western Bulldogs,North Melbourne,-54
2013,Western Bulldogs,Port Adelaide,9
2013,Western Bulldogs,Richmond,-63.5
2013,Western Bulldogs,St Kilda,9
2013,Western Bulldogs,Sydney,-35
2013,Western Bulldogs,West Coast,-24
2013,Western Bulldogs,Western Bulldogs,
2014,Adelaide,Adelaide,
2014,Adelaide,Brisbane Lions,105
2014,Adelaide,Carlton,-5
2014,Adelaide,Collingwood,18.5
2014,Adelaide,Essendon,-9
2014,Adelaide,Fremantle,-40
2014,Adelaide,Geelong,-38
2014,Adelaide,Gold Coast,32
2014,Adelaide,Greater Western Sydney,66.5
2014,Adelaide,Hawthorn,-12
2014,Adelaide,Melbourne,-3
2014,Adelaide,North Melbourne,14.5
2014,Adelaide,Port Adelaide,-15.5
2014,Adelaide,Richmond,-10
2014,Adelaide,St Kilda,82.5
2014,Adelaide,Sydney,-63
2014,Adelaide,West Coast,-31
2014,Adelaide,Western Bulldogs,9
2014,Brisbane Lions,Adelaide,-105
2014,Brisbane Lions,Brisbane Lions,
2014,Brisbane Lions,Carlton,7
2014,Brisbane Lions,Collingwood,67
2014,Brisbane Lions,Essendon,-8
2014,Brisbane Lions,Fremantle,-70.5
2014,Brisbane Lions,Geelong,-43.5
2014,Brisbane Lions,Gold Coast,0.5
2014,Brisbane Lions,Greater Western Sydney,-45
2014,Brisbane Lions,Hawthorn,-48
2014,Brisbane Lions,Melbourne,23
2014,Brisbane Lions,North Melbourne,-41.5
2014,Brisbane Lions,Port Adelaide,-113
2014,Brisbane Lions,Richmond,-34
2014,Brisbane Lions,St Kilda,3
2014,Brisbane Lions,Sydney,-79
2014,Brisbane Lions,West Coast,-12
2014,Brisbane Lions,Western Bulldogs,8
2014,Carlton,Adelaide,5
2014,Carlton,Brisbane Lions,-7
2014,Carlton,Carlton,
2014,Carlton,Collingwood,-24.5
2014,Carlton,Essendon,-40.5
2014,Carlton,Fremantle,-5
2014,Carlton,Geelong,-5.5
2014,Carlton,Gold Coast,39
2014,Carlton,Greater Western Sydney,-8
2014,Carlton,Hawthorn,-28
2014,Carlton,Melbourne,-23
2014,Carlton,North Melbourne,23
2014,Carlton,Port Adelaide,-68
2014,Carlton,Richmond,-12
2014,Carlton,St Kilda,58.5
2014,Carlton,Sydney,-71
2014,Carlton,West Coast,3
2014,Carlton,Western Bulldogs,28
2014,Collingwood,Adelaide,-18.5
2014,Collingwood,Brisbane Lions,-67
2014,Collingwood,Carlton,24.5
2014,Collingwood,Collingwood,
2014,Collingwood,Essendon,-20.5
2014,Collingwood,Fremantle,-70
2014,Collingwood,Geelong,-11
2014,Collingwood,Gold Coast,-5
2014,Collingwood,Greater Western Sydney,8
2014,Collingwood,Hawthorn,-47
2014,Collingwood,Melbourne,33
2014,Collingwood,North Melbourne,35
