,,,,,,,,,,,max,100,,,,Rainfall Bins,0,1,10,15,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Round,Team,Score,Margin,WinLoss,Opposition,Day,Date,Start Time,Venue,Attendance,Rainfall(mm),,Year,,Rainfall,None,Light,Medium,Heavy,,,,Team,Adelaide,Brisbane Lions,Carlton,Collingwood,Essendon,Fremantle,Geelong,Gold Coast,Greater Western Sydney,Hawthorn,Melbourne,North Melbourne,Port Adelaide,Richmond,St Kilda,Sydney,West Coast,Western Bulldogs,,Venue,Adelaide Oval,Bellerive Oval,Blacktown,Carrara,Cazaly's Stadium,Docklands,Eureka Stadium,Football Park,Gabba,Jiangwan Stadium,Kardinia Park,M.C.G.,Manuka Oval,Marrara Oval,Perth Stadium,Riverway Stadium,S.C.G.,Stadium Australia,Subiaco,Sydney Showground,Traeger Park,Wellington,York Park
2012,R7,Brisbane Lions,58,-58,L,Collingwood,Sat,12-May-12,7:40 PM,Gabba,"27,926",0,,,,Sydney,26.4,-0.4,38.0,-18.0,,,,Sydney,77.0,60.0,23.0,9.0,44.0,-12.5,-32.5,41.0,79.5,-34.3,31.0,39.0,-18.0,47.0,37.5,,34.0,35.0,,Sydney,,39.0,,,,35.0,,29.5,,,-44.0,-3.3,,,,,42.3,3.3,4.5,,,16.0,
2012,R8,Brisbane Lions,132,92,W,Greater Western Sydney,Sun,20-May-12,1:10 PM,Gabba,"16,049",0,,,,West Coast,2.2,-19.1,,,,,,West Coast,-40.0,26.0,-24.0,-62.0,23.0,-28.0,-66.0,17.0,100.0,-35.0,94.0,2.0,-5.0,-41.0,4.0,-34.0,,24.0,,West Coast,,,,,,3.8,,0.5,26.0,,,16.0,,,,,,,-22.9,100.0,,,
2012,R1,Brisbane Lions,119,41,W,Melbourne,Sat,31-Mar-12,1:45 PM,M.C.G.,"33,473",0.6,,,,Western Bulldogs,-9.7,-35.0,-35.0,-31.0,,,,Western Bulldogs,-17.5,30.5,28.0,-34.0,-31.0,-28.0,-21.0,-32.0,4.0,-19.0,8.5,-54.0,9.0,-63.5,9.0,-35.0,-24.0,,,Western Bulldogs,,,,-32.0,,-11.9,,-52.0,-7.0,,,-3.0,4.0,9.0,,,,,-70.0,,,,-19.0
2012,R12,Brisbane Lions,70,-65,L,Hawthorn,Sun,17-Jun-12,1:10 PM,M.C.G.,"35,492",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,R22,Brisbane Lions,104,11,W,Port Adelaide,Sat,25-Aug-12,1:40 PM,Football Park,"13,953",2.2,,Year,,Rainfall,None,Light,Medium,Heavy,,,,Team,Adelaide,Brisbane Lions,Carlton,Collingwood,Essendon,Fremantle,Geelong,Gold Coast,Greater Western Sydney,Hawthorn,Melbourne,North Melbourne,Port Adelaide,Richmond,St Kilda,Sydney,West Coast,Western Bulldogs,,Venue,Adelaide Oval,Bellerive Oval,Blacktown,Carrara,Cazaly's Stadium,Docklands,Eureka Stadium,Football Park,Gabba,Jiangwan Stadium,Kardinia Park,M.C.G.,Manuka Oval,Marrara Oval,Perth Stadium,Riverway Stadium,S.C.G.,Stadium Australia,Subiaco,Sydney Showground,Traeger Park,Wellington,York Park
2012,R15,Brisbane Lions,63,-47,L,Sydney,Sat,7-Jul-12,4:40 PM,S.C.G.,"19,419",2.8,,2014,,Adelaide,12.2,15.2,-3.0,,,,,Adelaide,,105,-5,18.5,-9,-40,-38,32,66.5,-12,-3,14.5,-15.5,-10,82.5,-63,-31,9,,Adelaide,6.9,-7.0,,,,28.7,,,105.0,,-38.0,5.5,,,,,,,-40.0,68.0,,,
2012,R20,Brisbane Lions,77,-36,L,Carlton,Sat,11-Aug-12,7:40 PM,Docklands,"25,977",3,,,,Brisbane Lions,-27.7,-58.0,-79.0,-48.0,,,,Brisbane Lions,-105,,7,67,-8,-70.5,-43.5,0.5,-45,-48,23,-41.5,-113,-34,3,-79,-12,8,,Brisbane Lions,-113.0,,,-53.0,,-18.7,,,-28.2,,-62.0,21.0,,,,,,,-83.0,,,3.0,-48.0
2012,R13,Brisbane Lions,114,58,W,Western Bulldogs,Sat,23-Jun-12,1:40 PM,Docklands,"20,146",3.2,,,,Carlton,-9.4,-10.7,,,,,,Carlton,5,-7,,-24.5,-40.5,-5,-5.5,39,-8,-28,-23,23,-68,-12,58.5,-71,3,28,,Carlton,-103.0,,,,,18.4,,,-7.0,,,-23.5,,,,,-71.0,,-5.0,-8.0,,,
2012,R9,Brisbane Lions,96,-16,L,North Melbourne,Sun,27-May-12,1:10 PM,Docklands,"19,988",4.6,,,,Collingwood,-8.9,-3.3,38.0,,,,,Collingwood,-18.5,-67,24.5,,-20.5,-70,-11,-5,8,-47,33,35,6,38,86,20,-26,-8,,Collingwood,-21.0,,,-5.0,,2.7,,,,,,-4.3,,,,,,20.0,-60.0,8.0,,,
2012,R16,Brisbane Lions,92,-13,L,St Kilda,Sat,14-Jul-12,7:40 PM,Gabba,"19,228",12,,,,Essendon,3.9,5.0,,,,,,Essendon,9,8,40.5,20.5,,-53,-9,19,15,-4,-1,13.5,2,16,-16,-36,3,7.5,,Essendon,2.0,,,,,0.6,,,8.0,,,17.6,,,,,-22.0,,-53.0,15.0,,,
2012,R10,Brisbane Lions,102,2,W,West Coast,Sun,3-Jun-12,1:10 PM,Gabba,"15,546",26.4,,,,Fremantle,20.0,19.3,,-5.0,,,,Fremantle,40,70.5,5,70,53,,15,48,76,-19.5,63,-13,-10.7,20,-58,-20.5,13,38,,Fremantle,-18.0,,,,,16.7,,,58.0,,-2.0,-19.0,,63.0,,,-17.0,-24.0,27.3,,,,
2012,R5,Brisbane Lions,41,-38,L,Geelong,Sat,28-Apr-12,7:45 PM,Gabba,"15,534",38.4,,,,Geelong,-5.6,34.2,32.0,96.0,,,,Geelong,38,43.5,5.5,11,9,-15,,-40,7,-13.3,66,15.3,-40,5,96,-110,75,13,,Geelong,-40.0,,,-40.0,,13.0,,,25.0,,43.7,5.1,,,,,-110.0,,-32.0,7.0,,,
2012,R1,Carlton,125,44,W,Richmond,Thu,29-Mar-12,7:45 PM,M.C.G.,"78,285",0,,,,Gold Coast,-4.8,-9.2,,,,,,Gold Coast,-32,-0.5,-39,5,-19,-48,40,,40,-76,8,43,-9,18,45.5,-35,-27.5,8.5,,Gold Coast,-32.0,,,5.4,-28.0,5.8,,,-54.0,,,8.0,,,,,,,-25.5,,,,-53.0
