Year,Team 1,Team 1 Label,Team 2,Team 2 Label,Margin
2013,Essendon,ESS,Fremantle,FRE,4
2013,Essendon,ESS,Geelong,GEE,-28
2013,Essendon,ESS,Gold Coast,GCS,43
2013,Essendon,ESS,Greater Western Sydney,GWS,39
2013,Essendon,ESS,Hawthorn,HAW,-56
2013,Essendon,ESS,Melbourne,MEL,148
2013,Essendon,ESS,North Melbourne,NOR,-45
2013,Essendon,ESS,Port Adelaide,POR,30
2013,Essendon,ESS,Richmond,RIC,-5
2013,Essendon,ESS,St Kilda,STK,37
2013,Essendon,ESS,Sydney,SYD,-44
2013,Essendon,ESS,West Coast,WCE,-23
2013,Essendon,ESS,Western Bulldogs,WBD,31
2013,Fremantle,FRE,Adelaide,ADE,14.5
2013,Fremantle,FRE,Brisbane Lions,BRI,40
2013,Fremantle,FRE,Carlton,CAR,36
2013,Fremantle,FRE,Collingwood,COL,27
2013,Fremantle,FRE,Essendon,ESS,-4
2013,Fremantle,FRE,Fremantle,FRE,
2013,Fremantle,FRE,Geelong,GEE,-13
2013,Fremantle,FRE,Gold Coast,GCS,45
2013,Fremantle,FRE,Greater Western Sydney,GWS,113
2013,Fremantle,FRE,Hawthorn,HAW,-28.5
2013,Fremantle,FRE,Melbourne,MEL,92.5
2013,Fremantle,FRE,North Melbourne,NOR,38
2013,Fremantle,FRE,Port Adelaide,POR,74
2013,Fremantle,FRE,Richmond,RIC,-13
2013,Fremantle,FRE,St Kilda,STK,-20.5
2013,Fremantle,FRE,Sydney,SYD,12.5
2013,Fremantle,FRE,West Coast,WCE,28
2013,Fremantle,FRE,Western Bulldogs,WBD,28
2013,Geelong,GEE,Adelaide,ADE,-2
2013,Geelong,GEE,Brisbane Lions,BRI,-2
2013,Geelong,GEE,Carlton,CAR,16
2013,Geelong,GEE,Collingwood,COL,-6
2013,Geelong,GEE,Essendon,ESS,28
2013,Geelong,GEE,Fremantle,FRE,13
2013,Geelong,GEE,Geelong,GEE,
2013,Geelong,GEE,Gold Coast,GCS,52
2013,Geelong,GEE,Greater Western Sydney,GWS,59
2013,Geelong,GEE,Hawthorn,HAW,4
2013,Geelong,GEE,Melbourne,MEL,68
2013,Geelong,GEE,North Melbourne,NOR,-3
2013,Geelong,GEE,Port Adelaide,POR,29.7
2013,Geelong,GEE,Richmond,RIC,44
2013,Geelong,GEE,St Kilda,STK,101
2013,Geelong,GEE,Sydney,SYD,32.5
2013,Geelong,GEE,West Coast,WCE,66
2013,Geelong,GEE,Western Bulldogs,WBD,21
2013,Gold Coast,GC,Adelaide,ADE,-28
2013,Gold Coast,GC,Brisbane Lions,BRI,-17.5
2013,Gold Coast,GC,Carlton,CAR,-43
2013,Gold Coast,GC,Collingwood,COL,7
2013,Gold Coast,GC,Essendon,ESS,-43
2013,Gold Coast,GC,Fremantle,FRE,-45
2013,Gold Coast,GC,Geelong,GEE,-52
2013,Gold Coast,GC,Gold Coast,GCS,
2013,Gold Coast,GC,Greater Western Sydney,GWS,63.5
2013,Gold Coast,GC,Hawthorn,HAW,-26
2013,Gold Coast,GC,Melbourne,MEL,36.5
2013,Gold Coast,GC,North Melbourne,NOR,15
2013,Gold Coast,GC,Port Adelaide,POR,-27.5
2013,Gold Coast,GC,Richmond,RIC,-9
2013,Gold Coast,GC,St Kilda,STK,-16.5
2013,Gold Coast,GC,Sydney,SYD,-41
2013,Gold Coast,GC,West Coast,WCE,-17
2013,Gold Coast,GC,Western Bulldogs,WBD,32
2013,Greater Western Sydney,GWS,Adelaide,ADE,-135
2013,Greater Western Sydney,GWS,Brisbane Lions,BRI,-60
2013,Greater Western Sydney,GWS,Carlton,CAR,-94
2013,Greater Western Sydney,GWS,Collingwood,COL,-40
2013,Greater Western Sydney,GWS,Essendon,ESS,-39
2013,Greater Western Sydney,GWS,Fremantle,FRE,-113
2013,Greater Western Sydney,GWS,Geelong,GEE,-59
2013,Greater Western Sydney,GWS,Gold Coast,GCS,-63.5
2013,Greater Western Sydney,GWS,Greater Western Sydney,GWS,
2013,Greater Western Sydney,GWS,Hawthorn,HAW,-83
2013,Greater Western Sydney,GWS,Melbourne,MEL,-2
2013,Greater Western Sydney,GWS,North Melbourne,NOR,-86
2013,Greater Western Sydney,GWS,Port Adelaide,POR,-65.5
2013,Greater Western Sydney,GWS,Richmond,RIC,-121
2013,Greater Western Sydney,GWS,St Kilda,STK,-72
2013,Greater Western Sydney,GWS,Sydney,SYD,-79.5
2013,Greater Western Sydney,GWS,West Coast,WCE,-100
2013,Greater Western Sydney,GWS,Western Bulldogs,WBD,-4
2013,Hawthorn,HAW,Adelaide,ADE,11
2013,Hawthorn,HAW,Brisbane Lions,BRI,58
2013,Hawthorn,HAW,Carlton,CAR,15
2013,Hawthorn,HAW,Collingwood,COL,45
2013,Hawthorn,HAW,Essendon,ESS,56
2013,Hawthorn,HAW,Fremantle,FRE,28.5
2013,Hawthorn,HAW,Geelong,GEE,-4
2013,Hawthorn,HAW,Gold Coast,GCS,26
2013,Hawthorn,HAW,Greater Western Sydney,GWS,83
2013,Hawthorn,HAW,Hawthorn,HAW,
2013,Hawthorn,HAW,Melbourne,MEL,95
2013,Hawthorn,HAW,North Melbourne,NOR,8.5
2013,Hawthorn,HAW,Port Adelaide,POR,45
2013,Hawthorn,HAW,Richmond,RIC,-41
2013,Hawthorn,HAW,St Kilda,STK,46
2013,Hawthorn,HAW,Sydney,SYD,34.3
2013,Hawthorn,HAW,West Coast,WCE,35
2013,Hawthorn,HAW,Western Bulldogs,WBD,19
2013,Melbourne,MEL,Adelaide,ADE,-68
2013,Melbourne,MEL,Brisbane Lions,BRI,-23.5
2013,Melbourne,MEL,Carlton,CAR,-61
2013,Melbourne,MEL,Collingwood,COL,-83
2013,Melbourne,MEL,Essendon,ESS,-148
2013,Melbourne,MEL,Fremantle,FRE,-92.5
2013,Melbourne,MEL,Geelong,GEE,-68
2013,Melbourne,MEL,Gold Coast,GCS,-36.5
2013,Melbourne,MEL,Greater Western Sydney,GWS,2
2013,Melbourne,MEL,Hawthorn,HAW,-95
2013,Melbourne,MEL,Melbourne,MEL,
2013,Melbourne,MEL,North Melbourne,NOR,-122
2013,Melbourne,MEL,Port Adelaide,POR,-79
2013,Melbourne,MEL,Richmond,RIC,-34
2013,Melbourne,MEL,St Kilda,STK,-35
2013,Melbourne,MEL,Sydney,SYD,-31
2013,Melbourne,MEL,West Coast,WCE,-94
2013,Melbourne,MEL,Western Bulldogs,WBD,-8.5
2013,North Melbourne,NOR,Adelaide,ADE,-5
2013,North Melbourne,NOR,Brisbane Lions,BRI,25.5
